,Numeric code,English short name (using title case),Independent,Code,Sink OFC,Conduit OFC
0,4, Afghanistan,Yes,AFG,No,No
1,248, Åland Islands,No,ALA,No,No
2,8, Albania,Yes,ALB,No,No
3,12, Algeria,Yes,DZA,No,No
4,16, American Samoa,No,ASM,No,No
5,20, Andorra,Yes,AND,Yes,No
6,24, Angola,Yes,AGO,No,No
7,660, Anguilla,No,AIA,Yes,No
8,10, Antarctica,No,ATA,No,No
9,28, Antigua and Barbuda,Yes,ATG,Yes,No
10,32, Argentina,Yes,ARG,No,No
11,51, Armenia,Yes,ARM,No,No
12,533, Aruba,No,ABW,Yes,No
13,36, Australia,Yes,AUS,No,No
14,40, Austria,Yes,AUT,No,No
15,31, Azerbaijan,Yes,AZE,No,No
16,44, Bahamas,Yes,BHS,Yes,No
17,48, Bahrain,Yes,BHR,Yes,No
18,50, Bangladesh,Yes,BGD,No,No
19,52, Barbados,Yes,BRB,Yes,No
20,112, Belarus,Yes,BLR,No,No
21,56, Belgium,Yes,BEL,No,No
22,84, Belize,Yes,BLZ,Yes,No
23,204, Benin,Yes,BEN,No,No
24,60, Bermuda,No,BMU,Yes,No
25,64, Bhutan,Yes,BTN,No,No
26,68, Bolivia (Plurinational State of),Yes,BOL,No,No
27,535," Bonaire, Sint Eustatius and Saba",No,BES,No,No
28,70, Bosnia and Herzegovina,Yes,BIH,No,No
29,72, Botswana,Yes,BWA,No,No
30,74, Bouvet Island,No,BVT,No,No
31,76, Brazil,Yes,BRA,No,No
32,86, British Indian Ocean Territory,No,IOT,No,No
33,96, Brunei Darussalam,Yes,BRN,No,No
34,100, Bulgaria,Yes,BGR,No,No
35,854, Burkina Faso,Yes,BFA,No,No
36,108, Burundi,Yes,BDI,No,No
37,132, Cabo Verde,Yes,CPV,No,No
38,116, Cambodia,Yes,KHM,No,No
39,120, Cameroon,Yes,CMR,No,No
40,124, Canada,Yes,CAN,No,No
41,136, Cayman Islands,No,CYM,Yes,No
42,140, Central African Republic,Yes,CAF,No,No
43,148, Chad,Yes,TCD,No,No
44,152, Chile,Yes,CHL,No,No
45,156, China,Yes,CHN,No,No
46,162, Christmas Island,No,CXR,No,No
47,166, Cocos (Keeling) Islands,No,CCK,No,No
48,170, Colombia,Yes,COL,No,No
49,174, Comoros,Yes,COM,No,No
50,178, Congo,Yes,COG,No,No
51,180," Congo, Democratic Republic of the",Yes,COD,No,No
52,184, Cook Islands,No,COK,Yes,No
53,188, Costa Rica,Yes,CRI,No,No
54,384, Côte d'Ivoire,Yes,CIV,No,No
55,191, Croatia,Yes,HRV,No,No
56,192, Cuba,Yes,CUB,No,No
57,531, Curaçao,No,CUW,Yes,No
58,196, Cyprus,Yes,CYP,Yes,No
59,203, Czechia,Yes,CZE,No,No
60,208, Denmark,Yes,DNK,No,No
61,262, Djibouti,Yes,DJI,No,No
62,212, Dominica,Yes,DMA,Yes,No
63,214, Dominican Republic,Yes,DOM,No,No
64,218, Ecuador,Yes,ECU,No,No
65,818, Egypt,Yes,EGY,No,No
66,222, El Salvador,Yes,SLV,No,No
67,226, Equatorial Guinea,Yes,GNQ,No,No
68,232, Eritrea,Yes,ERI,No,No
69,233, Estonia,Yes,EST,No,No
70,748, Eswatini,Yes,SWZ,No,No
71,231, Ethiopia,Yes,ETH,No,No
72,238, Falkland Islands (Malvinas),No,FLK,No,No
73,234, Faroe Islands,No,FRO,No,No
74,242, Fiji,Yes,FJI,No,No
